"GEOID","NAME","state_name","total_pop","pct_female","pct_male","pct_white","pct_black","pct_am_indian","pct_asian","pct_pacificI","pct_other","pct_two_or_more","pct_divorced","pct_hs_or_higher","pct_ba_or_higher","pct_doctorate","pct_uninsured","med_household_income"
"50003","Bennington County","Vermont",37312,51.4070540308748,48.5929459691252,92.6618782161235,1.0211192109777,0.171526586620926,0.948756432246998,0.0107204116638079,0.873713550600343,4.31228559176672,0.130115524608324,94.1460336315379,41.1596570028583,1.72612197928654,0.0501389721510709,71494
"50005","Caledonia County","Vermont",30425,49.4133114215283,50.5866885784717,93.3048479868529,0.890714872637634,0.19391947411668,0.295809367296631,0.0164338537387017,1.1405094494659,4.15776499589154,0.140699246667954,93.6603194657522,31.9465752188431,1.70111000812201,0.0411971364178709,66075
"50007","Chittenden County","Vermont",168831,50.8040584963662,49.1959415036338,87.1717871717872,2.57417180494104,0.129715514330899,3.87665772281157,0.0343538805077267,0.729131498362268,5.48418240725933,0.0959751681324366,95.5009235640778,55.7982232386314,3.61069575160524,0.0329684758346563,94310
"50009","Essex County","Vermont",5972,49.6316141995981,50.3683858004019,94.675150703282,0.0502344273275285,0.586068318821166,0.987943737441393,0,0,3.70060281312793,0.14154984423676,88.5105448154657,21.1775043936731,1.20826010544815,0.0576214405360134,58985
"50011","Franklin County","Vermont",50379,50.1657436630342,49.8342563369658,92.5961213997896,0.273923658667302,0.396990809662756,0.565711903769428,0.0337442188213343,0.645110065701979,5.48839794358761,0.112767759893501,92.9725340874094,28.801411092757,1.40269339530196,0.0393499919652901,79078
"50013","Grand Isle County","Vermont",7393,47.9101853104288,52.0898146895712,91.708372785067,0.473420803462735,1.81252536182876,0.378736642770188,0,0.730420668199648,4.89652373867172,0.11284475965327,96.7031029619182,43.1770098730606,2.82087447108604,0.0390138173936603,90625
"50015","Lamoille County","Vermont",26036,49.8962974343217,50.1037025656783,92.2799201106161,1.13688738669535,0.399446919649716,0.814257182362882,0,1.47488093409126,3.89460746658473,0.126890022519417,93.5276811981813,43.840599090666,1.31585985557636,0.0606667951435729,69897
"50017","Orange County","Vermont",29594,49.9594512401162,50.0405487598838,93.7656281678719,0.371696965601135,0.250050685949855,0.584577954990877,0.00675812664729337,0.584577954990877,4.4367101439481,0.16054319423549,94.742085956252,36.5200851410715,1.99266337575291,0.0516470109800732,77328
"50019","Orleans County","Vermont",27492,49.4471118870944,50.5528881129056,94.4711188709443,0.843881856540084,0.298268587225375,0.738396624472574,0.0072748435908628,0.385566710315728,3.2554925069111,0.12608489140291,91.8821198613175,28.5636453689945,1.03516592372462,0.0378463029941459,66426
"50021","Rutland County","Vermont",60484,49.9851200317439,50.0148799682561,93.8512664506316,0.681171880166656,0.145493022948218,0.550558825474506,0,0.357119238145625,4.41439058263342,0.130057970456253,93.7289188709391,33.5345286703355,1.21604828688088,0.0397322248376488,64778
